_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35681,20486,SP25677,,SP,South Park,South Park,,,,,,,,0.38737605,,,,<Null>,,,{9E7F6E90-E600-44DF-8C5D-B94ECCE21E97},Active,0.00579421964618703
35682,20487,SP13842,,SP,South Park,South Park,,,,,,,,0.03856408,,,,<Null>,,,{94F18900-203F-419C-A9E3-CFABD8AF469A},Active,0.000627026845830473
35683,20488,SP13843,,SP,South Park,South Park,,,,,,,,0.04344648,,,,<Null>,,,{F3833384-F7F0-4CC0-9660-56E1F0A800EF},Active,0.000734480701615494
35684,20489,SP13864,,SP,South Park,South Park,,,,,,,,0.05927276,,,,<Null>,,,{26BF8039-3BBB-48AA-B804-B89B7CC38D6A},Active,0.000987967702764776
35685,20490,SP13865,,SP,South Park,South Park,,,,,,,,0.02213425,,,,<Null>,,,{04532C73-6EBB-4BE2-A633-3A1E1B4ECE82},Active,0.000375427657146627
35686,20491,SP25682,,SP,South Park,South Park,,,,,,,,0.04987614,,,,<Null>,,,{3EEDDE8F-1628-44CF-BD58-5585BB14DB76},Active,0.00081173938808615
35687,20492,SP13867,,SP,South Park,South Park,,,,,,,,0.13651239,,,,<Null>,,,{E64045F6-5CD0-4370-B8E1-32F9175703A3},Active,0.00225091323357503
35688,20493,SP13871,,SP,South Park,South Park,,,,,,,,0.00856205,,,,<Null>,,,{419C0027-6047-456F-86E7-3D66E0731469},Active,0.000129824859042008
35689,20494,SP13899,,SP,South Park,South Park,,,,,,,,0.0070239,,,,<Null>,,,{C03A211D-72DC-4B6F-B496-75F533830EE5},Active,0.000124191216143567
35690,20495,SP13890,,SP,South Park,South Park,,,,,,,,0.04290492,,,,<Null>,,,{46973309-0AE6-4E66-8F18-9753159942D9},Active,0.000710095974029744
35691,20496,SP13814,,SP,South Park,South Park,,,,,,,,0.02189531,,,,<Null>,,,{9F0BC9AB-AB89-4A75-B37F-75AD43EAB83A},Active,0.000340944639376599
35692,20497,SP13819,,SP,South Park,South Park,,,,,,,,0.02575039,,,,<Null>,,,{8CE7DE4A-82F6-46A9-9C2B-CEEBCA175C8E},Active,0.000454602844305701
35693,20498,SP13823,,SP,South Park,South Park,,,,,,,,0.19921912,,,,<Null>,,,{859CAB22-496B-4BC3-8A66-C85883FC2594},Active,0.00297973836672602
35694,20499,SP13824,,SP,South Park,South Park,,,,,,,,0.05537183,,,,<Null>,,,{D3B088F5-039C-4AF0-A5B7-8DAAF813C1EA},Active,0.000973602985970633
35695,20500,SP13825,,SP,South Park,South Park,,,,,,,,0.04770049,,,,<Null>,,,{EF394A6E-5A7E-4F71-9DB0-D06C652FB0EF},Active,0.000769927869400886
35696,20501,SP13826,,SP,South Park,South Park,,,,,,,,0.0375905,,,,<Null>,,,{5A928977-5213-44A6-9BCA-85D6ED4AB4A7},Active,0.000569640471500381
35697,20502,SP13828,,SP,South Park,South Park,,,,,,,,0.12057384,,,,<Null>,,,{E77D790F-FA3E-44F0-BA1D-79C13FDD8F0A},Active,0.00189513936886639
35698,20503,SP13829,,SP,South Park,South Park,,,,,,,,0.02396641,,,,<Null>,,,{8F52DF86-6054-473B-BA2F-AEDDEC4284B2},Active,0.000388039505879068
35699,20504,SP13831,,SP,South Park,South Park,,,,,,,,0.02902787,,,,<Null>,,,{79AD5259-3E23-40A1-AF28-D64B63C3149F},Active,0.000450324223483332
35700,20505,SP13836,,SP,South Park,South Park,,,,,,,,0.01671491,,,,<Null>,,,{1B63D25E-F86C-4499-884E-D66347AA38EA},Active,0.000272672256554192
35701,20506,SP13838,,SP,South Park,South Park,,,,,,,,0.0226475,,,,<Null>,,,{FE7BE1A1-F7CB-4DB8-9861-EAFA83AE0B05},Active,0.000420257558352255
